   object_type    | table_schema |            table_name            |                           column_name                           |          data_type          |      udt_name      |                                                                                                                                                column_default                                                                                                                                                 | is_nullable |  key_type   |                               references                               | unique_constraint |                          column_comment                          | table_comment | character_maximum_length | numeric_precision | ordinal_position 
------------------+--------------+----------------------------------+-----------------------------------------------------------------+-----------------------------+--------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-------------+------------------------------------------------------------------------+-------------------+------------------------------------------------------------------+---------------+--------------------------+-------------------+------------------
 CHECK_CONSTRAINT | neon_auth    | users_sync                       | 24797_24798_1_not_null                                          | check                       |                    | raw_json IS NOT NULL                                                                                                                                                                                                                                                                                          |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | neon_auth    | users_sync                       | 24797_24798_2_not_null                                          | check                       |                    | id IS NOT NULL                                                                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | adjustment_rules                 | 278616_278699_1_not_null                                        | check                       |                    | id IS NOT NULL                                                                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | adjustment_rules                 | 278616_278699_2_not_null                                        | check                       |                    | cycle_id IS NOT NULL                                                                                                                                                                                                                                                                                          |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | adjustment_rules                 | 278616_278699_3_not_null                                        | check                       |                    | date_type_id IS NOT NULL                                                                                                                                                                                                                                                                                      |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | adjustment_rules                 | 278616_278699_4_not_null                                        | check                       |                    | rule_description IS NOT NULL                                                                                                                                                                                                                                                                                  |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | adjustment_rules                 | 278616_278699_5_not_null                                        | check                       |                    | rule_code IS NOT NULL                                                                                                                                                                                                                                                                                         |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | app_settings                     | 278616_278707_1_not_null                                        | check                       |                    | id IS NOT NULL                                                                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | client_external_systems          | 278616_278712_1_not_null                                        | check                       |                    | id IS NOT NULL                                                                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | client_external_systems          | 278616_278712_2_not_null                                        | check                       |                    | client_id IS NOT NULL                                                                                                                                                                                                                                                                                         |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | client_external_systems          | 278616_278712_3_not_null                                        | check                       |                    | system_id IS NOT NULL                                                                                                                                                                                                                                                                                         |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | clients                          | 278616_278718_1_not_null                                        | check                       |                    | id IS NOT NULL                                                                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | clients                          | 278616_278718_2_not_null                                        | check                       |                    | name IS NOT NULL                                                                                                                                                                                                                                                                                              |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | external_systems                 | 278616_278727_1_not_null                                        | check                       |                    | id IS NOT NULL                                                                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | external_systems                 | 278616_278727_2_not_null                                        | check                       |                    | name IS NOT NULL                                                                                                                                                                                                                                                                                              |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | external_systems                 | 278616_278727_3_not_null                                        | check                       |                    | url IS NOT NULL                                                                                                                                                                                                                                                                                               |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | feature_flags                    | 278616_278735_1_not_null                                        | check                       |                    | id IS NOT NULL                                                                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | feature_flags                    | 278616_278735_2_not_null                                        | check                       |                    | feature_name IS NOT NULL                                                                                                                                                                                                                                                                                      |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | feature_flags                    | 278616_278735_4_not_null                                        | check                       |                    | allowed_roles IS NOT NULL                                                                                                                                                                                                                                                                                     |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | holidays                         | 278616_278744_10_not_null                                       | check                       |                    | types IS NOT NULL                                                                                                                                                                                                                                                                                             |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | holidays                         | 278616_278744_1_not_null                                        | check                       |                    | id IS NOT NULL                                                                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | holidays                         | 278616_278744_2_not_null                                        | check                       |                    | date IS NOT NULL                                                                                                                                                                                                                                                                                              |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | holidays                         | 278616_278744_3_not_null                                        | check                       |                    | local_name IS NOT NULL                                                                                                                                                                                                                                                                                        |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | holidays                         | 278616_278744_4_not_null                                        | check                       |                    | name IS NOT NULL                                                                                                                                                                                                                                                                                              |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | holidays                         | 278616_278744_5_not_null                                        | check                       |                    | country_code IS NOT NULL                                                                                                                                                                                                                                                                                      |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | leave                            | 278616_278754_1_not_null                                        | check                       |                    | id IS NOT NULL                                                                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | leave                            | 278616_278754_2_not_null                                        | check                       |                    | user_id IS NOT NULL                                                                                                                                                                                                                                                                                           |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | leave                            | 278616_278754_3_not_null                                        | check                       |                    | start_date IS NOT NULL                                                                                                                                                                                                                                                                                        |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | leave                            | 278616_278754_4_not_null                                        | check                       |                    | end_date IS NOT NULL                                                                                                                                                                                                                                                                                          |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | leave                            | 278616_278754_5_not_null                                        | check                       |                    | leave_type IS NOT NULL                                                                                                                                                                                                                                                                                        |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
